,created_at,original,translated
103,2020-09-28 22:23,"Dos informes de reconocidos centros de estudios internacionales demuestran que desde la llegada de Jeanine Áñez al gobierno y por la falta de implementación de políticas públicas responsables durante la pandemia, la pobreza creció notablemente en Bolivia.

https://t.co/UURzVQDnIJ",
104,2020-09-28 17:44,"RT @LuchoXBolivia: Las mujeres de #Bolivia juegan un papel fundamental en el desarrollo del país.  Potenciando más sus emprendimientos, ind…",
105,2020-09-28 17:43,#FelicidadEsLucho https://t.co/Vi3kOVTtyK,
106,2020-09-28 17:43,RT @LuchoXBolivia: 🎸🎶 “Nadie le pondrá murallas a nuestra verdad” 🎸🎶 https://t.co/fZ99ZUSG5K,
107,2020-09-28 17:43,#FelicidadEsLucho https://t.co/L3JOwezxVQ,
108,2020-09-28 11:00,"Muchas felicidades hermano @LuchoxBolivia. Te deseamos superávit de salud, metas cumplidas y que los resultados de tu gestión cuando seas presidente sean tan exitosos como lo será el proyecto de industrialización del litio. ¡Hasta la victoria! ✊🏽

#FelicidadEsLucho https://t.co/brtkmn3V7z",
109,2020-09-27 23:56,"RT @LaramaDavid: Somos indios, somos campesinos, somos mineros, fabriles, artesanos, gremiales, transportistas, somos trabajadores, somos p…",
110,2020-09-27 23:56,"RT @LuchoXBolivia: ¡Huanuni, vanguardia de nuestra soberanía! 
Emotiva visita a nuestras hermanas y hermanos aguerridos de #Huanuni. Con @L…",
111,2020-09-27 23:56,"RT @LuchoXBolivia: Increíble recibimiento de nuestras hermanas y hermanos mineros en el histórico centro minero #Huanuni. 
¡Gracias! https:…",
112,2020-09-27 23:56,"RT @LuchoXBolivia: Muy agradecidos mis hermanas y hermanos de #Oruro, nos llenaron de fuerza y cariño. 
Nos han pedido que recuperemos la p…",
113,2020-09-27 23:56,"RT @PatriciaArceGu2: Quiero agradecer el cariño a los compañeros del Municipio de Vacas, donde recibí el respaldo para estar con mucha fuer…",
114,2020-09-27 23:56,"RT @LaramaDavid: Buscamos un país con empleo, producción industrial y una economía fuerte. 

Nuestra lucha es por la igualdad, el respeto,…",
115,2020-09-27 23:56,"RT @LuchoXBolivia: ¡El poder de tus brazos Oruro!
Responderemos a su cariño y confianza con mucho trabajo para reactivar la economía orureñ…",
116,2020-09-27 23:56,"RT @LaramaDavid: ¡Jallalla #Oruro!

Ya estamos en la Avenida Cívica con el hermano @LuchoXBolivia.

#VamosASalirAdelante
#YoLucho por #Boli…",
117,2020-09-27 23:55,RT @LuchoXBolivia: Estamos en #Oruro gratamente sorprendidos por la multitudinaria movilización de nuestras hermanas y hermanos orureños. R…,
118,2020-09-27 23:55,RT @LuchoXBolivia: Es tradición pasar por #Oruro y tomar el delicioso #api orureño. Felices de visitar a nuestras hermanas del Mercado Ferm…,
119,2020-09-27 23:55,"RT @EvaCopa_Bol: ""Torazo"", gran caravana por el triunfo de nuestro binomio 'Lucho y David'. 🔵⚪⚫

""#ElAlto de pie, nunca de rodillas""

#Vamo…",
120,2020-09-27 23:55,"RT @LuchoXBolivia: Desde tempranas horas de la mañana, con mi hermano @LaramaDavid visitamos medios de comunicación de #Oruro. Gracias a RT…",
121,2020-09-27 12:28,"El Gobierno de la Argentina rechazó las palabras vertidas por la presidenta transitoria de Bolivia, Jeanine Áñez, en la asamblea general de Naciones Unidas, respecto a una supuesta injerencia del país vecino en asuntos electorales bolivianos.

https://t.co/shJRYnwky3",
122,2020-09-26 12:57,"El presidente de la Federación de Asociaciones Municipales (FAM) de Bolivia, Álvaro Ruiz, denunció que hay más de 2 mil proyectos paralizados por falta de inversión del gobierno central y que la Presidenta transitoria Jeanine Áñez no recibe a los alcaldes.
https://t.co/lNuHkkYTra",
123,2020-09-26 02:32,"El majestuoso salar de Uyuni se matizó hoy con pobladores originarios del lugar con vestimenta de fiesta y música ancestral, donde @LuchoXBolivia y @LaramaDavid del MAS presentaron un plan para retomar el proyecto industrialización sustentable del litio.

https://t.co/InK5Xezmhy",
124,2020-09-26 01:24,"Los candidatos a presidente y vice de Bolivia por el MAS - IPSP @LuchoXBolivia y @LaramaDavid presentaron en el Salar de Uyuni una propuesta para retomar el megaproyecto de la industrialización sustentable del litio.

Descargue aquí el proyecto completo:

https://t.co/T7t0fDeXXu",
125,2020-09-25 15:58,"Hoy desde el #SalardeUyuni en Potosí, presentamos una nueva propuesta para reconstruir la economía de nuestro país ✊🏽
🔴 En vivo:
https://t.co/BSCjuKoG7B https://t.co/EzoaSW5rOY",
126,2020-09-25 15:15,RT @LuchoXBolivia: Hoy presentamos una nueva propuesta para reconstruir nuestra economía. https://t.co/M2cDR0hNFB,
127,2020-09-25 13:21,"RT @LaramaDavid: Llegamos a nuestro majestuoso Salar de #Uyuni 🙌🏾

Recibiendo la energía de nuestro padre Sol 

#VamosASalirAdelante
#Boliv…",
128,2020-09-25 12:16,"El Parlasur debatió en audiencia pública acerca de las garantías electorales en Bolivia. Los participantes coincidieron en que se debe garantizar el voto el 18 de octubre y hacer respetar los derechos humanos, porque se ha retrocedido en su ejercicio.

https://t.co/dDRa96w6fH",
129,2020-09-25 04:04,"RT @LaramaDavid: Todo nuestro amor para el pueblo cruceño, elay 💚

¡Felicidades #SantaCruz! 

#VamosASalirAdelante https://t.co/XtUzYgLSBC",
130,2020-09-25 04:04,"RT @LuchoXBolivia: Luego de una intensa jornada en #SantaCruz, compartimos momentos con la familia. Buenas noches hermanas y hermanos. Grac…",
131,2020-09-24 20:56,"La jefa anticorrupción de la Fuerza Especial de Lucha Contra el Crimen (FELCC), capitán Silvia Sandoval Peredo, denunció que el director de esa institución, Coronel Iván Rojas, manipuló 11 casos que se investigan en la Fiscalía del Estado.

https://t.co/r6zqwo61Ga",
132,2020-09-24 19:01,"Ingresa al sitio oficial de la campaña de @LuchoXBolivia, donde podrás descargar el documento donde explica cómo reemplazará la importación de combustibles que tiene un costo de 1000 millones de dólares, y generará al mismo tiempo 200 mil nuevos empleos.

https://t.co/NWFbhphLCT",
133,2020-09-24 16:54,"En una carta del 22 de septiembre, 28 congresistas estadounidenses vinculados al Partido Demócrata manifestaron al Secretario de Estado de su país, Mike Pompeo, la preocupación acerca del rol de la OEA en las elecciones de Bolivia del año pasado.

https://t.co/6YPPYKscwj",
134,2020-09-23 21:46,"Para el MAS, Bolivia debe ser autosostenible en la producción de diésel y combustibles ecológicos. En la propuesta para las elecciones del 18 de octubre, promete generar más de 200 mil nuevos empleos directos e indirectos en el sector.

Documento completo:
https://t.co/NWFbhphLCT",
135,2020-09-23 18:42,"RT @LuchoXBolivia: Producción de diesel y combustibles ecológicos. 
Grandes proyectos para transformar #Bolivia. #VamosASalirAdelante https…",
136,2020-09-23 18:25,RT @LuchoXBolivia: Con nuestra propuesta #Bolivia será autosostenible en la producción de diésel y combustibles ecológicos. Generaremos más…,
137,2020-09-23 18:25,"RT @PatriciaArceGu2: A pesar de los malos momentos q nos toca vivir, debemos ser fuertes y consecuentes para enfrentar las barreras que enc…",
138,2020-09-23 18:24,"RT @LaramaDavid: Muchas gracias hermanos y hermanas de Sica Sica y Lahuachaca.

Con la unidad y la fuerza de nuestro pueblo #VamosASalirAde…",
139,2020-09-23 15:13,"RT @LuchoXBolivia: #SantaCruz 
HOY presentamos nuestra propuesta para una Política de Combustibles Ecológicos. 
Sígannos en vivo https://t.…",
140,2020-09-23 15:13,"RT @PatriciaArceGu2: Gracias a la Federación de  Asociaciones Municipales de Bolivia #FAM, por este reconocimiento a la Valentía de la Auto…",
141,2020-09-23 15:12,"RT @evoespueblo: A semanas de elecciones en #Bolivia, los jurados electorales en Argentina no fueron notificados ni capacitados, y la Canci…",
142,2020-09-23 15:12,"RT @evoespueblo: En riesgo el voto en Argentina. Denunciamos que a menos de un mes de las elecciones en #Bolivia, los notarios electorales…",
143,2020-09-23 12:14,"El candidato a presidente por el Movimiento Al Socialismo, @LuchoXBolivia, sostuvo en la primera Cumbre Internacional Progresista que en Bolivia “el pueblo exige la recuperación de la democracia”.

https://t.co/ZeLQbTQfjE",
144,2020-09-22 15:05,"El pasado 16/09, la Defensoría del Pueblo presentó el Informe “Crisis de Estado, Violación de los Derechos Humanos en Bolivia, Octubre-Diciembre de 2019”, hechos que “nos han quebrado como sociedad y como Estado”, afirmaron.

https://t.co/xhKeWtfeHC",
